"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd"
"1990","Qingdao(city)","370200","City (Prefectural level)","370000","Shandong (province)","168.2400","23.3357","49.0965","27.5678","","","","",""
"1990","Zibo(city)","370300","City (Sub-provincial level)","370000","Shandong (province)","106.0200","16.4403","65.1858","18.3739","","","","",""
"1990","Zaozhuang(city)","370400","City (Sub-provincial level)","370000","Shandong (province)","50.5600","30.2017","51.0483","18.7500","","","","",""
"1990","Dongying(city)","370500","City (Sub-provincial level)","370000","Shandong (province)","65.7400","12.7624","77.8674","9.3702","","","","",""
"1990","Yantai(city)","370600","City (Sub-provincial level)","370000","Shandong (province)","137.5800","34.2564","47.5723","18.1640","","","","",""
"1990","Weifang(city)","370700","City (Sub-provincial level)","370000","Shandong (province)","144.3100","37.6412","43.4828","18.8760","","","","",""
"1990","Ji’ning(city)","370800","City (Sub-provincial level)","370000","Shandong (province)","98.3500","39.7356","36.7361","23.5282","","","","",""
"1990","Tai’an(city)","370900","City (Sub-provincial level)","370000","Shandong (province)","83.9400","36.7644","43.9004","19.3352","","","","",""
"1990","Weihai(city)","371000","City (Sub-provincial level)","370000","Shandong (province)","66.7600","44.1132","41.8664","14.0354","","","","",""
"1990","Rizhao(city)","371100","City (Sub-provincial level)","370000","Shandong (province)","15.6500","51.3099","22.3642","26.2620","","","","",""
"1990","Linyi(city)","371300","City (Sub-provincial level)","370000","Shandong (province)","25.9100","25.7816","48.7843","25.3956","","","","",""
"1990","Dezhou(city)","371400","City (Sub-provincial level)","370000","Shandong (province)","10.9300","10.1555","60.4758","29.3687","","","","",""
"1990","Liaocheng(city)","371500","City (Sub-provincial level)","370000","Shandong (province)","12.0200","48.0865","26.9551","24.9584","","","","",""
"1990","Binzhou(city)","371600","City (Sub-provincial level)","370000","Shandong (province)","7.3200","28.2787","47.6776","23.9071","","","","",""
"1990","Heze(city)","371700","City (Sub-provincial level)","370000","Shandong (province)","11.0200","38.8385","39.5644","21.5064","","","","",""
"1990","Changsha(city)","430100","City (Sub-provincial level)","430000","Hunan (province)","93.4800","26.0804","43.4104","30.5092","","","","",""
"1990","Zhuzhou(city)","430200","City (Sub-provincial level)","430000","Hunan (province)","54.4800","27.2394","47.8524","24.9082","","","","",""
"1990","Xiangtan(city) ","430300","City (Sub-provincial level)","430000","Hunan (province)","39.0300","28.7984","50.4484","20.7533","","","","",""
"1990","Hengyang(city)","430400","City (Sub-provincial level)","430000","Hunan (province)","67.2300","43.4776","30.2841","26.2234","","","","",""
"1990","Shaoyang(city)","430500","City (Sub-provincial level)","430000","Hunan (province)","49.8400","52.0666","28.6717","19.2616","","","","",""
"1990","Yueyang(city)","430600","City (Sub-provincial level)","430000","Hunan (province)","66.2500","43.6075","34.3849","22.0075","","","","",""
"1990","Changde(city)","430700","City (Sub-provincial level)","430000","Hunan (province)","82.0500","48.4095","32.5411","19.0494","","","","",""
"1990","Zhangjiajie(city)","430800","City (Sub-provincial level)","430000","Hunan (province)","11.0800","52.9783","19.1336","27.8881","","","","",""
"1990","Yiyang(city)","430900","City (Sub-provincial level)","430000","Hunan (province)","7.5900","14.2292","49.1436","36.6271","","","","",""
"1990","Chenzhou(city)","431000","City (Sub-provincial level)","430000","Hunan (province)","8.4900","4.4759","71.3781","24.1461","","","","",""
"1990","Yongzhou(city)","431100","City (Sub-provincial level)","430000","Hunan (province)","8.1200","33.6207","51.1084","15.2709","","","","",""
"1990","Huaihua(city)","431200","City (Sub-provincial level)","430000","Hunan (province)","6.5900","34.9014","21.6995","43.3991","","","","",""
"1990","Loudi(city)","431300","City (Sub-provincial level)","430000","Hunan (province)","6.8400","11.4035","62.5731","26.1696","","","","",""
"1990","Guangzhou(city)","440100","City (Prefectural level)","440000","Guangdong (province)","319.6000","8.0507","42.6471","49.3023","","","","",""
"1990","Shaoguan(city)","440200","City (Sub-provincial level)","440000","Guangdong (province)","53.2700","30.3548","43.4579","26.1873","","","","",""
"1990","Shenzhen","440300","City (Prefectural level)","440000","Guangdong (province)","135.8600","5.1671","52.8559","41.9770","","","","",""
"1990","Zhuhai","440400","City (Sub-provincial level)","440000","Guangdong (province)","41.1800","18.4313","39.9709","41.5979","","","","",""
"1990","Shantou","440500","City (Sub-provincial level)","440000","Guangdong (province)","111.4300","37.4854","35.8342","26.6804","","","","",""
"1990","Foshan(city)","440600","City (Sub-provincial level)","440000","Guangdong (province)","125.5000","15.5139","59.9203","24.5657","","","","",""
"1990","Jiangmen(city)","440700","City (Sub-provincial level)","440000","Guangdong (province)","93.0900","25.5022","43.9897","30.5081","","","","",""
"1990","Zhan jiang(city)","440800","City (Sub-provincial level)","440000","Guangdong (province)","95.6300","42.1311","25.7869","32.0820","","","","",""
"1990","Maoming(city)","440900","City (Sub-provincial level)","440000","Guangdong (province)","73.7500","42.0881","36.0542","21.8576","","","","",""
"1990","Zhaoqing(city)","441200","City (Sub-provincial level)","440000","Guangdong (province)","92.3700","49.9729","26.8810","23.1460","","","","",""
"1990","Huizhou(city)","441300","City (Sub-provincial level)","440000","Guangdong (province)","48.7900","35.9500","29.5962","34.4538","","","","",""
"1990","Shanwei(city)","441500","City (Sub-provincial level)","440000","Guangdong (province)","22.5200","49.2895","20.7815","29.9290","","","","",""
"1990","Heyuan(city)","441600","City (Sub-provincial level)","440000","Guangdong (province)","22.1600","55.5054","22.6986","21.7960","","","","",""
"1990","Yangjiang(city)","441700","City (Sub-provincial level)","440000","Guangdong (province)","28.0600","54.4904","26.4790","18.9950","","","","",""
"1990","Qingyuan(city)","441800","City (Sub-provincial level)","440000","Guangdong (province)","41.8500","52.8554","21.7204","25.4002","","","","",""
"1990","Dongguan(city)","441900","City (Sub-provincial level)","440000","Guangdong (province)","64.6100","22.6900","47.3456","29.9644","","","","",""
"1990","Zhongshan(city) ","442000","City (Sub-provincial level)","440000","Guangdong (province)","43.5500","31.3203","43.2147","25.4650","","","","",""
"1990","Chaozhou(city)","445100","City (Sub-provincial level)","440000","Guangdong (province)","23.6000","29.7881","44.1949","26.0169","","","","",""
"1990","Haikou(city)","460100","City (Sub-provincial level)","460000","Hainan (province)","18.4489","","","","5102.0000","","9458.0000","70814.0000","104217.0000"
"1990","Sanya(city)","460200","City (Sub-provincial level)","460000","Hainan (province)","5.0942","","","","1423.0000","","28200.0000","11324.0000","11418.0000"
"1990","Xi'an(city)","610100","City (Prefectural level)","610000","Shaanxi (province)","","13.4803","48.4963","38.0234","","","","",""
"1990","Tongchuan(city)","610200","City (Sub-provincial level)","610000","Shaanxi (province)","","15.5286","60.0220","24.4493","","","","",""
"1990","Baoji(city)","610300","City (Sub-provincial level)","610000","Shaanxi (province)","","22.1039","53.2794","24.5954","","","","",""
"1990","Xianyang(city)","610400","City (Sub-provincial level)","610000","Shaanxi (province)","","32.9683","43.2992","23.7324","","","","",""
"1990","Fuzhou city","350100","City (Sub-provincial level)","350000","Fujian (province)","102.4000","28.7000","40.2000","31.0000","2097.0000","8.2000","294100.0000","412100.0000","317800.0000"
"1990","Xiamen","350200","City (Prefectural level)","350000","Fujian (province)","50.5800","10.6000","45.3000","44.0000","4376.0000","17.7000","60800.0000","258700.0000","186300.0000"
