"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en.x","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd","Prvcnm_en.y","Pi0101","rel_cpi_2010","city_rgdp","city_rgdppc"
2000,"Heihe(city)",231100,"City (Sub-provincial level)",230000,"Heilongjiang (province)",76.6,32.1,22.5,45.3,4506,NA,246000,173000,347000,"Heilongjiang",98.3,79.8241673810003,95.9609132336935,5644.9069847392
2000,"Suihua(city)",231200,"City (Sub-provincial level)",230000,"Heilongjiang (province)",315.3,30.7,26.4,42.9,5837,NA,969000,832000,1352000,"Heilongjiang",98.3,79.8241673810003,394.993158519368,7312.32180868236
2000,"Daxinganling Region",232700,"City (Sub-provincial level)",230000,"Heilongjiang (province)",42.2,13,46,40.8,7861,NA,55000,194000,172000,"Heilongjiang",98.3,79.8241673810003,52.8661950190844,9847.89476410006
2000,"Wuhan(city)",420100,"City (Prefectural level)",420000,"Hubei (province)",1206.84,6.7,44.2,49.1,NA,NA,813600,5333100,5921700,"Hubei",99,78.1819547092024,1543.62986252881,NA
2000,"Huangshi(city)",420200,"City (Sub-provincial level)",420000,"Hubei (province)",200.75,8.8,52.4,38.8,NA,NA,176100,1052400,779000,"Hubei",99,78.1819547092024,256.772807416608,NA
2000,"Shiyan(city)",420300,"City (Sub-provincial level)",420000,"Hubei (province)",178.5,14.4,51,34.6,NA,NA,256600,910600,617800,"Hubei",99,78.1819547092024,228.313554788865,NA
2000,"Jingzhou(city)",421000,"City (Sub-provincial level)",420000,"Hubei (province)",301.54,29.3,40.5,30.2,NA,NA,883000,1220700,911700,"Hubei",99,78.1819547092024,385.690024151452,NA
2000,"Yichang(city)",420500,"City (Sub-provincial level)",420000,"Hubei (province)",379.39,16.6,54.4,29,NA,NA,619800,2065200,1108900,"Hubei",99,78.1819547092024,485.265431660209,NA
2000,"Xiangyang",420600,"City (Sub-provincial level)",420000,"Hubei (province)",415.29,23.4,47.4,29.2,NA,NA,971900,1970400,1210600,"Hubei",99,78.1819547092024,531.183956124748,NA
2000,"Ezhou(city)",420700,"City (Sub-provincial level)",420000,"Hubei (province)",90.47,15.9,52,32,NA,NA,144300,471100,289300,"Hubei",99,78.1819547092024,115.717239785706,NA
2000,"Jingmen(city)",420800,"City (Sub-provincial level)",420000,"Hubei (province)",248.22,23.7,42.3,34,NA,NA,587800,1049900,844500,"Hubei",99,78.1819547092024,317.490143247574,NA
2000,"Xiaogan(city)",420900,"City (Sub-provincial level)",420000,"Hubei (province)",262.51,27.5,39.8,32.7,NA,NA,722100,1045800,857200,"Hubei",99,78.1819547092024,335.768018306021,NA
2000,"Huanggang(city)",421100,"City (Sub-provincial level)",420000,"Hubei (province)",320.97,25.8,45.3,28.9,NA,NA,829000,1452100,928600,"Hubei",99,78.1819547092024,410.542306333792,NA
2000,"Xianning(city)",421200,"City (Sub-provincial level)",420000,"Hubei (province)",133.07,25.8,44,30.2,NA,NA,343600,585400,401700,"Hubei",99,78.1819547092024,170.205516726914,NA
2000,"Enshi Tujia and Miao Autonomous Prefecture",422800,"City (Sub-provincial level)",420000,"Hubei (province)",120.96,NA,NA,NA,NA,NA,521900,348800,338900,"Hubei",99,78.1819547092024,154.716008892219,NA
2000,"Beijing (city)",110000,"Municipality",110000,"Beijing",3277.8,2.4,31.2,66.4,25014,12,793000,10237000,21749000,"Beijing",103.5,87.9246890229989,3727.96314257377,28449.3471378181
2000,"Tianjin",120000,"Municipality",120000,"Tianjin (city)",1701.88,4.3,50.8,44.9,17353,10.8,736900,8638300,7643600,"Tianjin",99.6,82.7113031590074,2057.61478177685,20980.2038382105
2000,"Changchun(city)",220100,"City (Prefectural level)",220000,"Jilin (province)",860.9987,14.3,43.2,42.5,NA,15.33,NA,NA,NA,"Jilin",98.6,80.1006841097363,1074.89556371385,NA
2000,"Jilin(province)",220200,"City (Sub-provincial level)",220000,"Jilin (province)",401.1802,16.2,39.5,44.2,NA,12.8,NA,NA,NA,"Jilin",98.6,80.1006841097363,500.844910950313,NA
2000,"Siping(city)",220300,"City (Sub-provincial level)",220000,"Jilin (province)",156.5766,40.4,25.5,34.1,NA,-1.2,NA,NA,NA,"Jilin",98.6,80.1006841097363,195.474735004127,NA
2000,"Zhenjiang(city)",321100,"City (Sub-provincial level)",320000,"Jiangsu (province)",452.025,NA,NA,NA,16967,10.3,321998,2503285,1694967,"Jiangsu",100.1,80.708838781304,560.068769202402,21022.4806306225
2000,"Taizhou city",321200,"City (Sub-provincial level)",320000,"Jiangsu (province)",405.2459,NA,NA,NA,8082,11,661947,1911908,1478604,"Jiangsu",100.1,80.708838781304,502.108450721353,10013.7731158538
2000,"Suqian(city)",321300,"City (Sub-provincial level)",320000,"Jiangsu (province)",200.6512,NA,NA,NA,3993,11,760907,708445,537160,"Jiangsu",100.1,80.708838781304,248.611184387998,4947.41351789213
2000,"Yin chuan(city)",640100,"City (Sub-provincial level)",640000,"Ningxia Hui Autonomous Region",95.7759,NA,NA,NA,NA,NA,108078,419169,430512,"Ningxia",99.6,75.7303967846427,126.469560528464,NA
2000,"Shizuishan(city)",640200,"City (Sub-provincial level)",640000,"Ningxia Hui Autonomous Region",50.4353,NA,NA,NA,NA,NA,66903,294866,142584,"Ningxia",99.6,75.7303967846427,66.598489036608,NA
2000,"Wuzhong(city)",640300,"City (Sub-provincial level)",640000,"Ningxia Hui Autonomous Region",94.7835,NA,NA,NA,NA,NA,219097,463769,264969,"Ningxia",99.6,75.7303967846427,125.159122392478,NA
2000,"Gu Yuan(city)",640400,"City (Sub-provincial level)",640000,"Ningxia Hui Autonomous Region",21.6638,NA,NA,NA,NA,NA,63380,62470,90788,"Ningxia",99.6,75.7303967846427,28.6064789302585,NA
